".mp4 or .3gp format";"format .mp4 ou .3gp"
"Add ";"Ajoutez des"
"Add sections:";"Ajouter des éléments :"
"Add to address book";"Ajouter au carnet d'adresses"
"Add<br /><span class=""bold"">Attachment</span>";"Ajouter<br /><span class=""bold"">une piece jointe</span>"
"Add<br /><span class=""bold"">Pictures</span>";"Ajouyer des<br /><span class=""bold"">images</span>"
"Address:";"Adresse :"
"Alignment:";"Alignement :"
"An error occurred while saving your page.";"Une erreur est survenue lors de la sauvegarde de votre page."
"Are you sure you want to delete this page?";"Êtes-vous sûr de vouloir supprimer cette page ?"
"Attachment";"Pièce jointe :"
"Attachment:";"Piece jointe :"
"Display address";"Afficher l'adresse"
"Display image in page";"Afficher image dans la page"
"Display location button";"Afficher le bouton de localisation"
"Display title and subtitle in page";"Afficher titre et sous titre dans la page"
"Email:";"Courriel :"
"Label";"Libellé"
"Label:";"Libellé :"
"Large";"Grand"
"Latitude:";"Latitude :"
"Link:";"Lien :"
"Loading picture:";"Image de chargement :"
"Longitude:";"Longitude :"
"Make a search or enter the Youtube Url:";"Saisissez votre recherche ou l'url Youtube :"
"Medium";"Moyen"
"My Youtube video:";"Votre vidéo Youtube :"
"My video";"Ma vidéo"
"No videos matching your selection";"Aucune vidéo ne correspond à votre sélectionNo videos matching your selection"
"Page successfully deleted";"Page supprimée avec succès"
"Page successfully saved";"Page sauvegardée avec succès"
"Phone:";"Téléphone :"
"Podcast URL:";"Adresse du podcast :"
"Select a button type:";"Sélectionnez un type de bouton :"
"Select a video type:";"Sélectionnez un type de vidéo :"
"Slider";"Defilé images"
"Small";"Petit"
"Video URL:";"Adresse de la vidéo :"
"Your Podcast:";"Votre Podcast :"
